user,karma,rating,publications,comments,favourites,followers
AndreyBadin,3.0,0.0,3,88,0,3
AndreyBerezhnoy,0.0,0.0,0,41,8,1
AndreyBessolitsyn,0.0,0.0,1,12,90,0
AndreyBizin,0.0,0.0,0,16,51,5
AndreyDaeron,0.0,0.0,0,49,108,0
AndreyDmitriev,68.2,0.1,3,427,314,7
AndreyDobrovolskiy,4.0,0.0,1,2,0,0
AndreyF,2.0,0.0,3,241,23,0
AndreyGeonya,18.0,0.0,1,20,11,8
AndreyKu,35.0,0.0,6,76,25,7
AndreyMorozov,51.0,0.0,3,34,62,1
AndreyNagih,9.0,0.0,1,84,84,9
AndreySolo,0.0,0.0,0,6,0,0
AndreySu,11.0,0.0,1,20,5,1
AndreyTS,18.9,0.0,7,177,19,15
AndreyYu,0.0,0.0,0,88,238,1
Andrey_Fedotov,5.0,0.0,1,13,6,0
Andrey_Kuprikov,19.0,0.0,2,90,34,2
Andrey_Sid,19.5,0.0,2,34,0,0
Andrey_Solomatin,0.0,0.0,0,7,5,0
Andrey_Zentavr,7.0,0.0,1,133,443,5
Andriyan,0.0,0.0,0,93,15,0
Androvas,3.0,0.0,1,4,7,0
Andruhon,13.7,0.0,3,106,130,1
Andrus_Trash,0.0,0.0,0,3,91,6
AndryX,51.2,0.0,8,893,143,25
Andsoon,11.0,0.0,1,45,31,0
AndyBW,8.0,0.0,4,16,1,2
AndyGrom,23.0,0.0,6,81,49,3
AndyLa,0.0,0.0,0,3,64,14
AndyTukker,0.0,0.0,0,42,2,1
Andy_Day,15.0,0.0,2,13,0,2
Andy_Ion,28.7,0.0,2,112,256,6
Anei,0.0,0.0,0,155,95,15
Aneto,0.0,0.0,0,148,40,38
Anett,0.0,0.0,0,8,0,0
Anfinagen,0.0,0.0,0,22,2,0
Angel2S2,119.0,0.0,4,378,198,8
AngelNight,6.0,0.0,1,0,0,1
AngelOfSnow,1.0,0.0,1,24,24,0
Angelina_Joulie,19.0,0.0,4,396,75,49
Angelmoon,42.0,0.0,1,88,0,2
Anghei,0.0,0.0,0,67,17,2
Angolier,0.0,0.0,0,3,122,0
Angraver,0.0,0.0,0,11,14,0
Anguis,0.0,0.0,0,23,14,3
AnimaLocus,0.0,0.0,0,59,22,0
Animals_Amateur,0.0,0.0,0,33,0,0
Aniro,13.0,0.3,1,38,51,0
AnisimovAM,0.0,0.0,0,5,1,0
Anisotropic,22.0,0.0,2,547,812,5
AnnInDark,17.0,0.0,4,40,6,6
AnnieOmsk,62.0,0.0,2,41,0,26
Anocean,0.0,0.0,0,10,11,0
Anonym,4.5,0.0,10,916,327,12
AnotherAnkor,8.0,0.0,2,36,160,0
Anstak,13.0,0.0,1,22,7,0
Ant0ha,7.0,0.0,2,78,71,2
AntLogist,5.0,0.0,3,9,1,2
Antago,0.0,0.0,0,2,75,0
Antalhen,8.0,0.0,1,59,127,2
Antares19,81.2,0.0,2,569,299,36
Antelle,190.5,0.4,11,11,53,28
Antex,0.0,0.0,0,50,48,2
Anthony,50.1,0.0,5,64,25,8
AnthonyBY,74.0,0.0,6,100,45,22
AntiDot,1.5,0.0,1,56,18,6
AntiHelper,3.0,0.0,1,16,43,1
Antibug,0.0,0.0,0,116,4,1
Antigluk,127.7,0.0,7,521,43,20
Antikiller,155.8,0.0,6,339,167,46
Antimony,4.0,0.0,1,17,34,4
AntipodTX,0.0,0.0,0,20,3,0
AntonBaton,0.0,0.0,0,7,14,1
AntonBielousov,0.0,0.0,0,1,0,0
