id,redirected_id,author
1317,1317,Maxime
1321,1321,lovermann
1323,1323,Yaro
1324,1324,erni
1333,1333,lovermann
1336,1336,Mio
1338,1338,NaFigator
1351,1351,FLOODkOFF
1353,1353,Uznick
1358,1358,Maxime
1364,1364,piroman
1369,1369,lovermann
1371,1371,didaio
1373,1373,rumkin
1375,1375,rossomachin
1380,1380,Miguel
1382,1382,rossomachin
1384,1384,gornal
1389,1389,myla
1399,1399,Rogozhin
1400,1400,alardus
1405,1405,Mio
1741,1741,alizar
1942,1942,Mio
2035,2035,Mio
2061,2061,Mio
2072,2072,Mio
2103,2103,Mio
2356,2356,julia
2366,2366,Mio
2513,2513,julia
2541,2541,julia
2548,2548,Mio
2614,2614,julia
2621,2621,deniskin
2633,2633,skazala
2634,2634,XEK
2640,2640,la_terra
2661,2661,julia
2664,2664,alizar
2665,2665,Ernillew
2666,2666,NaFigator
2674,2674,alizar
2675,2675,cooler
2676,2676,skazala
2678,2678,obox
2681,2681,julia
2689,2689,ProRunner
2695,2695,Mio
2699,2699,Yaro
2705,2705,alizar
2707,2707,la_terra
2714,2714,alizar
2717,2717,cooler
2720,2720,Uznick
2722,2722,phpclub
2725,287330,julia
2733,2733,rumkin
2740,2740,AlexBruce
2741,2741,Negoda
2752,2752,rossomachin
2759,2759,sandwarrior
2765,2765,skazala
2771,2771,flip
2778,2778,lovermann
2779,2779,alizar
2789,2789,la_terra
2790,2790,la_terra
2795,2795,Uznick
2803,2803,Mio
2809,2809,skazala
2816,2816,dimm
2818,2818,AlexBruce
2820,2820,rulix
2826,288010,lovermann
2836,2836,alizar
2841,2841,Vorchun
2842,2842,rumkin
2844,2844,huh
2848,2848,erni
2858,2858,ProRunner
2860,2860,ProRunner
2863,2863,BBSoD
2867,2867,Novikov
2875,2875,gulevich
2878,2878,ProRunner
2879,2879,alizar
2882,2882,Mio
2883,2883,Dogen
2888,2888,la_terra
2890,2890,la_terra
2892,2892,lovermann
2899,2899,cerber
2901,2901,dze
2902,2902,schors
2903,2903,TheBits
2909,2909,Semenov
2913,2913,ptitov
2922,2922,kappa
2932,2932,skazala
