name, rating, karma, post_score, comment_score
DartRaven,0.6,6.0,0,0
Darvins,0.0,0.0,0,0
das,1.8,18.0,0,0
datalabs,2.7,27.0,0,0
dbsergey,0.0,0.0,0,0
dchertousov,0.0,0.0,0,0
ddakapoh,0.7,7.0,0,0
ddavydov,1.0,10.0,0,0
dDoom,0.6,6.0,0,0
de1m,0.03,0.0,0,0
decaprox,0.0,0.0,0,0
dedmakar,0.0,0.0,0,0
ded_Pihto,0.7,7.0,0,0
deepshift,0.5,5.0,0,0
deetan,0.0,0.0,0,0
DeeZ,3.8,38.0,0,0
Deffe,0.0,0.0,0,0
defuz,6.65,66.0,0,5
dekko,0.0,0.0,0,0
Delawer,0.0,0.0,0,0
Delimitry,52.41,19.0,63,11
demand,2.5,25.0,0,0
demmsnt,0.0,0.0,0,0
deMone,1.03,10.3,0,0
Demtriy,0.0,0.0,0,0
den4es,0.0,0.0,0,0
den_admin,1.2,12.0,0,0
denisemenov,0.0,0.0,0,0
DenisGaravsky,3.1,31.0,0,0
Denish,0.0,0.0,0,0
denisigo,0.07,0.7,0,0
DenisO,5.8,58.0,0,0
DenisOgr,0.0,0.0,0,0
denniskobzev,1.9,19.0,0,0
denser,0.0,0.0,0,0
Denv3r,0.2,2.0,0,0
denvar,0.0,0.0,0,0
Denysh,0.0,0.0,0,0
derar,0.0,0.0,0,0
deshaion,0.0,0.0,0,0
detsl,1.3,13.0,0,0
DevDemi,0.0,0.0,0,0
Devdmitry,0.1,1.0,0,0
devotus,0.0,0.0,0,0
devpreview,1.2,12.0,0,0
Dexif,0.0,0.0,0,0
DexMorgan,0.0,0.0,0,0
Dexter_Holland,0.6,6.0,0,0
dfuse,9.98,99.75,0,0
Digal,0.0,0.0,0,0
DIHALT,58.83,585.78,0,27
dii,0.0,0.0,0,0
dim88,0.0,0.0,0,0
Dimadze,3.08,30.75,0,0
DimaSmirnov,0.7,7.0,0,0
dime,0.0,0.0,0,0
Dim_Ko,0.0,0.0,0,0
DIMOSUS,51.29,24.0,61,9
Dioexul,0.6,6.0,0,0
Disasm,0.69,1.0,0,59
DizelGenerator,0.9,9.0,0,0
DizzyStyle,1.2,12.0,0,0
djforce,0.5,5.0,0,0
dkonst,0.0,0.0,0,0
Dmfdmf,0.0,0.0,0,0
dmitrdem,0.7,7.0,0,0
dmitriy_b,2.24,22.0,0,4
dmitriyecho,1.61,16.13,0,0
dmitrynesterov,2.93,29.25,0,0
dmtr82,0.0,0.0,0,0
Dnevnik_ru,1.0,10.0,0,0
DnSK,0.0,0.0,0,0
DnV,-0.03,-1.0,0,7
DoctorMozg,0.0,0.0,0,0
dohque,0.5,5.0,0,0
Doj,0.0,0.0,0,0
Doktor_Gradus,-0.12,-2.0,0,5
dom1n1k,3.83,31.25,0,61
DonkeyHot,0.94,9.0,0,4
Doomsday_nxt,0.0,0.0,0,0
Door,2.62,25.0,0,12
dosyas,3.6,36.0,0,0
Drabadum,0.0,0.0,0,0
dragan,0.0,0.0,0,0
drak,0.0,0.0,0,0
drakasmit,0.0,0.0,0,0
dreamiurg,0.0,0.0,0,0
driverx18,0.1,1.0,0,0
drnkrq,0.0,0.0,0,0
dron_k,0.4,4.0,0,0
DrShark,0.0,0.0,0,0
dshap,0.0,0.0,0,0
DsXack,0.0,0.0,0,0
dtraff,0.0,0.0,0,0
dvig,0.0,0.0,0,0
DVLev,2.1,21.0,0,0
dvs,0.0,0.0,0,0
Dyr,4.4,44.0,0,0
Dzaft,0.2,2.0,0,0
dzhankoy,0.0,0.0,0,0
easyman,3.08,30.77,0,0
ebogdanov,0.0,0.0,0,0
edli007,0.0,0.0,0,0
edmteam,0.8,8.0,0,0
eevdokimov,1.7,17.0,0,0
eexo,2.63,26.0,0,3
EGarbuzov,0.0,0.0,0,0
egens,1.7,17.0,0,0
Egloo,0.0,0.0,0,0
egorF,2.07,20.6,0,1
egrank,0.0,0.0,0,0
Ejina,0.0,0.0,0,0
Ekimmu,0.0,0.0,0,0
elanserr,0.2,2.0,0,0
ElComandante,0.0,0.0,0,0
elioneer,0.0,0.0,0,0
elky,1.23,11.0,0,13
elliadan,2.73,27.0,0,3
elmm,6.0,60.0,0,0
el_periodista,3.4,34.0,0,0
elreydelagamba,0.6,6.0,0,0
elw00d,2.9,29.0,0,0
empty,0.0,0.0,0,0
endomorphine,-0.06,0.0,0,-6
ENESDi,0.0,0.0,0,0
eNotik,1.7,17.0,0,0
Enrey,3.2,32.0,0,0
enterdv,2.3,23.0,0,0
entw,0.0,0.0,0,0
Envek,7.71,69.5,0,76
Enwony,0.0,0.0,0,0
eReS,5.23,52.25,0,0
ermolaevym,0.7,7.0,0,0
Escaton,0.0,0.0,0,0
esudnik,0.47,4.7,0,0
eternal2000,0.0,0.0,0,0
eucariot,51.2,512.0,0,0
EugeneDest,2.36,23.6,0,0
EugeneGavrin,1.53,15.25,0,0
EuroElessar,15.15,151.0,0,5
evans2094,0.05,0.0,0,5
evgenioni,0.0,0.0,0,0
Evgenromin,1.7,17.0,0,0
evnuh,-1.51,-15.0,0,-1
EvoIX,0.0,0.0,0,0
EvRiaL,0.0,0.0,0,0
ewolf,1.5,15.0,0,0
Exabiche,-0.2,-2.0,0,0
exersizze,0.9,9.0,0,0
faddistr,0.0,0.0,0,0
Fahrain,3.0,30.0,0,0
FakeFactFelis,20.77,203.5,0,42
falker,0.0,0.0,0,0
Fally,0.0,0.0,0,0
fantique,5.52,55.15,0,0
fanya249,0.0,0.0,0,0
farafontov,0.61,6.1,0,0
Fashion,2.8,28.0,0,0
FAST,0.0,0.0,0,0
fastpars,4.3,43.0,0,0
fast_stein,0.0,0.0,0,0
fearout,14.45,144.5,0,0
FFormula,1.5,15.0,0,0
Filarius,0.0,0.0,0,0
fimapsuchopadt,6.2,62.0,0,0
Firsto,0.17,0.0,0,17
flag_of_labour,-10.9,-109.0,0,0
fleshy,0.0,0.0,0,0
FLOODkOFF,1.19,11.9,0,0
Fluttercom,2.1,21.0,0,0
foff4ik,1.25,12.5,0,0
fokusov,0.0,0.0,0,0
ForeverYoung,0.01,0.0,0,1
forewar,0.8,8.0,0,0
ForhaxeD,109.94,177.5,115,19
fork,1.59,15.9,0,0
formatko,0.0,0.0,0,0
Forward25,1.0,10.0,0,0
freebornman,1.5,15.0,0,0
freetonik,138.29,432.25,118,66
FreeWolfAlex,0.0,0.0,0,0
Freya,5.0,50.0,0,0
frizzyH,0.0,0.0,0,0
fromrussia,14.23,142.25,0,0
FrostMoon,0.1,1.0,0,0
frozen_lion,1.6,16.0,0,0
fse,57.75,17.0,70,5
Funcraft,0.0,0.0,0,0
FuriousAngel,0.3,3.0,0,0
furyk,7.74,77.35,0,0
fuxx,0.0,0.0,0,0
fyga,0.0,0.0,0,0
fylfot,0.0,0.0,0,0
garacio,0.4,4.0,0,0
garmoncheg,0.0,0.0,0,0
Garry_K,0.0,0.0,0,0
GDie,0.0,0.0,0,0
geekAdd,0.0,0.0,0,0
geeqie,0.5,5.0,0,0
geniot,0.0,0.0,0,0
gfhfk,2.1,21.0,0,0
ghisguth,5.0,50.0,0,0
ghost23,0.0,0.0,0,0
gkraser,0.0,0.0,0,0
glorybox,0.0,0.0,0,0
glossy,0.0,0.0,0,0
gmorning,0.0,0.0,0,0
goBLINus,0.0,0.0,0,0
gohdan,0.0,0.0,0,0
gok,-0.1,-1.0,0,0
Goldywhite,0.0,0.0,0,0
GoodSoft,0.79,7.89,0,0
Goodver,0.0,0.0,0,0
gorenski,1.5,15.0,0,0
gornakov,0.0,0.0,0,0
gorshunov,0.0,0.0,0,0
Goshik,0.3,3.0,0,0
Grab,0.0,0.0,0,0
grau1812,6.4,64.0,0,0
graycrow,0.0,0.0,0,0
gre,1.3,13.0,0,0
GreatStarMaster,0.0,0.0,0,0
greenkaktus,0.0,0.0,0,0
grich,0.05,0.0,0,5
grigor007,0.4,4.0,0,0
grigory51,0.6,6.0,0,0
GRinGo,0.0,0.0,0,0
Gris,0.0,0.0,0,0
grishkaa,0.0,0.0,0,0
grossseo,0.0,0.0,0,0
gta4kv,0.03,0.3,0,0
gUAno,2.61,26.1,0,0
Guderian,56.02,119.0,32,6
GuessWho,0.0,0.0,0,0
Gumanoid,0.0,0.0,0,0
guvatara,0.0,0.0,0,0
Hackfaq,0.0,0.0,0,0
Halt,21.12,211.15,0,0
Haoose,5.74,47.75,0,93
HareX,1.61,16.1,0,0
head84,0.0,0.0,0,0
heartly,2.3,23.0,0,0
HeisenbergP,0.6,6.0,0,0
Heldar,0.0,0.0,0,0
hellgirl,0.0,0.0,0,0
hellhorse,0.0,0.0,0,0
Hellitron,97.46,37.25,117,13
hellohaos,0.0,0.0,0,0
hior,0.0,0.0,0,0
hMartin,0.6,6.0,0,0
homm,49.26,32.63,55,200
HostingManager,213.18,70.5,257,53
HotWaterMusic,57.94,146.75,54,6
Hukuta,0.3,3.0,0,0
hypper,0.1,1.0,0,0
hyzro,0.0,0.0,0,0
iamAnton,1.93,19.25,0,0
IbhSvenssen,2.7,27.0,0,0
iBlacksus,-0.2,-2.0,0,0
ibn_Petr,0.0,0.0,0,0
IcyEagle,0.0,0.0,0,0
id,0.0,0.0,0,0
IdefixPro,1.2,12.0,0,0
idinmukhametov,0.2,2.0,0,0
IDVsbruck,-1.4,-14.0,0,0
Ierixon,1.2,12.0,0,0
ierogliph,0.0,0.0,0,0
igla,0.0,0.0,0,0
igmor,0.0,0.0,0,0
Ignat_Z,0.0,0.0,0,0
IgorDeg,0.0,0.0,0,0
igorkim,0.0,0.0,0,0
iilin,0.0,0.0,0,0
iiShrimp,1.13,11.0,0,3
ilBEastli,0.0,0.0,0,0
Ildarovich,-0.2,-2.0,0,0
iLight,0.3,3.0,0,0
ilusha_sergeevich,154.27,157.75,177,11
IlyaFrenk,0.1,1.0,0,0
imageofyou,0.0,0.0,0,0
iMedved,0.0,0.0,0,0
Imp5,13.42,133.0,0,12
inboxzero,82.48,12.0,101,48
infeneon,-0.2,-2.0,0,0
Infinite,0.3,3.0,0,0
infom,0.85,8.5,0,0
Infthi,3.76,37.3,0,3
innuendo,0.0,0.0,0,0
Intakto,0.0,0.0,0,0
IOmehin,0.6,6.0,0,0
iOrange,0.0,0.0,0,0
iPavel,4.8,48.0,0,0
ipetrov2064,251.4,42.0,309,0
IrkDesigner,1.18,11.75,0,0
iroln,2.08,17.0,0,38
IRuslan,0.6,6.0,0,0
isden,5.82,54.0,0,42
ishevchuk,51.14,54.5,57,9
Iskin,17.58,174.6,0,12
Ist,1.0,10.0,0,0
Itimora,1.5,15.0,0,0
itserw,0.6,6.0,0,0
itSobytie,0.9,9.0,0,0
ItsTipTop,0.0,0.0,0,0
IvanB,0.0,0.0,0,0
ivan_feanor,1.1,11.0,0,0
IvanovSV,0.1,1.0,0,0
ivertex,0.0,0.0,0,0
iviv,3.29,32.9,0,0
ivn,0.4,4.0,0,0
ivorobts,18.71,27.0,20,1
iz0,0.0,0.0,0,0
izelenyuk,1.5,15.0,0,0
jaaan,0.0,0.0,0,0
Jacetejob,0.0,0.0,0,0
Jack_A,0.0,0.0,0,0
jagermesh,2.4,24.0,0,0
jakobz,-0.5,-5.0,0,0
Jancker,0.0,0.0,0,0
Jan_May,1.75,17.5,0,0
JannPlesk,0.0,0.0,0,0
javist,2.5,25.0,0,0
jcrow,0.0,0.0,0,0
jctim,0.41,4.1,0,0
Jecky,-1.69,-17.0,0,1
JIesnik,0.0,0.0,0,0
Jman,0.0,0.0,0,0
joemast,0.0,0.0,0,0
JohnnyD,0.0,0.0,0,0
josefknecht,0.0,0.0,0,0
jsr,0.5,5.0,0,0
Jtu,0.0,0.0,0,0
juffinhalli,2.1,21.0,0,0
juka,0.0,0.0,0,0
julie,0.0,0.0,0,0
juneuniversum,-11.4,-114.0,0,0
justnomi,0.0,0.0,0,0
justrestless,-0.21,-2.0,0,0
JustStas,0.0,0.0,0,0
k4Rla,0.0,0.0,0,0
kaa_aaa,0.2,2.0,0,0
kaero,0.0,0.0,0,0
kai,0.0,0.0,0,0
Kallist,0.0,0.0,0,0
KaMaToZzz,129.3,37.0,157,0
kambei,-0.21,-3.0,0,9
Kano,1.44,14.4,0,0
Karapuzzzz,0.0,0.0,0,0
karena,0.0,0.0,0,0
karlkorp,54.16,12.0,66,16
karser,0.77,7.0,0,7
Kartoshk0,0.0,0.0,0,0
kaser,2.1,21.0,0,0
Kastello,0.0,0.0,0,0
kasthack,0.3,3.0,0,0
Katasonov,0.0,0.0,0,0
Katenok,0.0,0.0,0,0
katyal,0.0,0.0,0,0
Kavkaz,4.3,43.0,0,0
kazarey,1.5,15.0,0,0
kazarindn,1.13,11.25,0,0
kciray,4.68,46.75,0,0
keysi,0.6,5.0,0,10
Khorev,0.0,0.0,0,0
Khoth,0.0,0.0,0,0
kiling,0.0,0.0,0,0
Kindet,0.0,0.0,0,0
Kirill_Cloudry,0.0,0.0,0,0
Kirillius,0.0,0.0,0,0
kirillzorin,3.7,37.0,0,0
Kirr,0.0,0.0,0,0
kirushik,0.0,0.0,0,0
kizu,5.97,59.69,0,0
knok16,0.6,6.0,0,0
kobzevvv,0.0,0.0,0,0
KOlegArk,0.0,0.0,0,0
Kolonist,3.59,36.0,0,-1
konsav,28.46,12.0,34,6
KonstMal,0.0,0.0,0,0
KonstRuctor,0.0,0.0,0,0
kosiasik,6.97,69.7,0,0
kostja,4.3,43.0,0,0
kotobus,0.0,0.0,0,0
kotofeich,0.0,0.0,0,0
kottopotun,0.0,0.0,0,0
kozel,0.0,0.0,0,0
kpsolo,0.1,1.0,0,0
Krasnoglazik,0.1,1.0,0,0
kravtsov_dim,-0.6,-6.0,0,0
kreatiff,0.0,0.0,0,0
kreon,5.18,51.75,0,0
kritik,-0.1,-1.0,0,0
krky,0.0,0.0,0,0
Kron0S,10.14,101.43,0,0
krylatij,0.67,6.7,0,0
k_s,5.76,57.62,0,0
ksider,0.0,0.0,0,0
ktarasov,0.2,2.0,0,0
kuma777,0.0,0.0,0,0
kurkas,0.0,0.0,0,0
kurtkrut,4.97,49.7,0,0
Kuuuzya,0.0,0.0,0,0
