x, y
2014-07-10 06:42:00, 213
2014-07-10 07:05:00, 262
2014-07-10 07:27:00, 288
2014-07-10 07:50:00, 325
2014-07-10 08:12:00, 417
2014-07-10 08:34:00, 471
2014-07-10 08:56:00, 545
2014-07-10 09:18:00, 688
2014-07-10 09:41:00, 722
2014-07-10 10:03:00, 782
2014-07-10 10:25:00, 792
2014-07-10 10:47:00, 790
2014-07-10 11:09:00, 790
2014-07-10 11:31:00, 796
2014-07-10 11:52:00, 882
2014-07-10 12:14:00, 844
2014-07-10 12:35:00, 811
2014-07-10 12:56:00, 780
2014-07-10 13:17:00, 889
2014-07-10 13:39:00, 836
2014-07-10 14:00:00, 877
2014-07-10 14:22:00, 797
2014-07-10 14:43:00, 835
2014-07-10 15:05:00, 761
2014-07-10 15:27:00, 752
2014-07-10 15:48:00, 784
2014-07-10 16:10:00, 682
2014-07-10 16:32:00, 735
2014-07-10 16:54:00, 696
2014-07-10 17:15:00, 782
2014-07-10 17:37:00, 701
2014-07-10 17:59:00, 741
2014-07-10 18:21:00, 728
2014-07-10 18:44:00, 650
2014-07-10 19:06:00, 651
2014-07-10 19:29:00, 588
2014-07-10 19:52:00, 586
2014-07-10 20:14:00, 548
2014-07-10 20:36:00, 563
2014-07-10 21:00:00, 610
2014-07-10 21:22:00, 618
2014-07-10 21:44:00, 586
2014-07-10 22:06:00, 636
2014-07-10 22:27:00, 638
2014-07-10 22:48:00, 618
2014-07-10 23:10:00, 585
2014-07-10 23:31:00, 570
2014-07-10 23:53:00, 526
2014-07-11 00:15:00, 511
2014-07-11 00:36:00, 509
2014-07-11 00:57:00, 420
2014-07-11 01:19:00, 380
2014-07-11 01:41:00, 369
2014-07-11 02:02:00, 304
2014-07-11 02:24:00, 265
2014-07-11 02:46:00, 245
2014-07-11 03:40:00, 173
2014-07-11 04:02:00, 140
2014-07-11 04:24:00, 138
2014-07-11 04:46:00, 147
2014-07-11 05:08:00, 151
2014-07-11 05:29:00, 170
2014-07-11 05:51:00, 173
2014-07-11 06:14:00, 205
2014-07-11 06:36:00, 244
2014-07-11 06:58:00, 290
2014-07-11 07:21:00, 321
2014-07-11 07:44:00, 366
2014-07-11 08:06:00, 455
2014-07-11 08:29:00, 491
2014-07-11 08:51:00, 592
2014-07-11 09:13:00, 704
2014-07-11 09:35:00, 785
2014-07-11 09:57:00, 810
2014-07-11 10:19:00, 859
2014-07-11 10:41:00, 850
2014-07-11 11:03:00, 801
2014-07-11 11:26:00, 830
2014-07-11 11:48:00, 1007
2014-07-11 12:10:00, 942
2014-07-11 12:32:00, 874
2014-07-11 12:55:00, 867
2014-07-11 13:16:00, 855
2014-07-11 13:39:00, 826
2014-07-11 14:00:00, 804
2014-07-11 14:23:00, 794
2014-07-11 14:45:00, 831
2014-07-11 15:07:00, 838
2014-07-11 15:30:00, 762
2014-07-11 15:54:00, 773
2014-07-11 16:17:00, 802
2014-07-11 16:40:00, 816
2014-07-11 17:03:00, 756
2014-07-11 17:26:00, 737
2014-07-11 17:48:00, 716
2014-07-11 18:10:00, 686
2014-07-11 18:32:00, 718
2014-07-11 18:54:00, 686
2014-07-11 19:16:00, 619
2014-07-11 19:38:00, 615
2014-07-11 20:04:00, 540
2014-07-11 20:30:00, 540
2014-07-11 20:52:00, 509
2014-07-11 21:14:00, 525
2014-07-11 21:37:00, 496
2014-07-11 21:59:00, 490
2014-07-11 22:21:00, 544
2014-07-11 22:43:00, 498
2014-07-11 23:05:00, 467
2014-07-11 23:26:00, 474
2014-07-11 23:48:00, 483
2014-07-12 00:10:00, 481
2014-07-12 00:31:00, 430
2014-07-12 00:53:00, 402
2014-07-12 01:15:00, 345
2014-07-12 01:36:00, 324
2014-07-12 01:59:00, 253
2014-07-12 02:21:00, 210
2014-07-12 02:43:00, 193
2014-07-12 03:05:00, 162
2014-07-12 03:53:00, 130
2014-07-12 04:14:00, 114
2014-07-12 04:36:00, 93
2014-07-12 04:58:00, 89
2014-07-12 05:19:00, 93
2014-07-12 05:41:00, 87
2014-07-12 06:03:00, 90
2014-07-12 06:25:00, 91
2014-07-12 06:46:00, 102
2014-07-12 07:08:00, 118
2014-07-12 07:30:00, 139
2014-07-12 07:52:00, 144
2014-07-12 08:14:00, 183
2014-07-12 08:36:00, 213
2014-07-12 08:57:00, 251
2014-07-12 09:19:00, 287
2014-07-12 09:41:00, 308
2014-07-12 10:02:00, 337
2014-07-12 10:24:00, 362
2014-07-12 10:45:00, 392
2014-07-12 11:07:00, 414
2014-07-12 11:28:00, 393
2014-07-12 11:49:00, 424
2014-07-12 12:13:00, 397
2014-07-12 12:37:00, 412
2014-07-12 12:58:00, 424
2014-07-12 13:20:00, 442
2014-07-12 13:41:00, 505
2014-07-12 14:03:00, 412
2014-07-12 14:25:00, 398
2014-07-12 14:47:00, 469
2014-07-12 15:09:00, 456
2014-07-12 15:32:00, 403
2014-07-12 15:55:00, 435
2014-07-12 16:19:00, 392
2014-07-12 16:42:00, 372
2014-07-12 17:05:00, 375
2014-07-12 17:28:00, 342
2014-07-12 17:52:00, 327
2014-07-12 18:16:00, 326
2014-07-12 18:38:00, 330
2014-07-12 19:00:00, 319
2014-07-12 19:23:00, 272
2014-07-12 19:45:00, 309
2014-07-12 20:07:00, 331
2014-07-12 20:30:00, 352
2014-07-12 20:53:00, 279
2014-07-12 21:14:00, 402
2014-07-12 21:38:00, 346
2014-07-12 22:01:00, 320
2014-07-12 22:25:00, 397
2014-07-12 22:49:00, 414
2014-07-12 23:13:00, 366
2014-07-12 23:36:00, 380
2014-07-12 23:58:00, 394
2014-07-13 00:21:00, 316
2014-07-13 00:44:00, 285
2014-07-13 01:06:00, 288
2014-07-13 01:28:00, 225
2014-07-13 01:51:00, 207
2014-07-13 02:14:00, 277
2014-07-13 02:36:00, 227
2014-07-13 02:59:00, 167
2014-07-13 03:22:00, 144
2014-07-13 03:47:00, 131
2014-07-13 04:10:00, 103
2014-07-13 04:33:00, 88
2014-07-13 04:58:00, 73
2014-07-13 05:22:00, 73
2014-07-13 05:45:00, 67
2014-07-13 06:09:00, 74
2014-07-13 06:33:00, 82
2014-07-13 06:57:00, 86
2014-07-13 07:20:00, 108
2014-07-13 07:44:00, 116
2014-07-13 08:07:00, 153
2014-07-13 08:32:00, 165
2014-07-13 08:56:00, 198
2014-07-13 09:19:00, 243
2014-07-13 09:45:00, 307
2014-07-13 10:11:00, 341
2014-07-13 10:39:00, 344
2014-07-13 11:05:00, 383
2014-07-13 11:31:00, 376
2014-07-13 11:57:00, 389
2014-07-13 12:23:00, 404
2014-07-13 12:51:00, 384
2014-07-13 13:17:00, 418
2014-07-13 13:44:00, 347
2014-07-13 14:10:00, 374
2014-07-13 14:36:00, 381
2014-07-13 15:02:00, 343
2014-07-13 15:27:00, 320
2014-07-13 15:51:00, 375
2014-07-13 16:15:00, 373
2014-07-13 16:38:00, 420
2014-07-13 17:02:00, 390
2014-07-13 17:25:00, 450
2014-07-13 17:48:00, 436
2014-07-13 18:12:00, 403
2014-07-13 18:35:00, 422
2014-07-13 18:58:00, 432
2014-07-13 19:20:00, 427
2014-07-13 19:44:00, 455
2014-07-13 20:07:00, 493
2014-07-13 20:32:00, 482
2014-07-13 20:56:00, 482
2014-07-13 21:21:00, 455
2014-07-13 21:45:00, 469
2014-07-13 22:09:00, 451
2014-07-13 22:32:00, 456
2014-07-13 22:54:00, 448
2014-07-13 23:17:00, 378
2014-07-13 23:40:00, 360
2014-07-14 00:03:00, 395
2014-07-14 00:25:00, 348
2014-07-14 00:48:00, 297
2014-07-14 01:10:00, 307
2014-07-14 01:33:00, 241
2014-07-14 01:55:00, 223
2014-07-14 02:19:00, 205
2014-07-14 02:42:00, 196
2014-07-14 03:05:00, 148
2014-07-14 03:28:00, 136
2014-07-14 03:52:00, 117
2014-07-14 04:55:00, 121
2014-07-14 05:17:00, 114
2014-07-14 05:39:00, 136
2014-07-14 06:02:00, 134
2014-07-14 06:24:00, 172
2014-07-14 06:46:00, 194
2014-07-14 07:08:00, 222
2014-07-14 07:30:00, 285
2014-07-14 07:52:00, 308
2014-07-14 08:14:00, 370
2014-07-14 08:35:00, 451
2014-07-14 08:57:00, 490
2014-07-14 09:19:00, 561
2014-07-14 09:41:00, 661
2014-07-14 10:04:00, 644
2014-07-14 10:25:00, 677
2014-07-14 10:47:00, 789
2014-07-14 11:10:00, 793
2014-07-14 11:32:00, 794
2014-07-14 11:54:00, 892
2014-07-14 12:17:00, 855
2014-07-14 12:40:00, 866
2014-07-14 13:02:00, 881
2014-07-14 13:24:00, 792
2014-07-14 13:46:00, 842
2014-07-14 14:09:00, 754
2014-07-14 14:31:00, 787
2014-07-14 14:54:00, 758
2014-07-14 15:17:00, 720
2014-07-14 15:39:00, 751
2014-07-14 16:02:00, 759
2014-07-14 16:25:00, 710
2014-07-14 16:47:00, 726
2014-07-14 17:11:00, 666
2014-07-14 17:34:00, 631
2014-07-14 17:56:00, 637
2014-07-14 18:19:00, 565
2014-07-14 18:41:00, 664
2014-07-14 19:04:00, 591
2014-07-14 19:26:00, 523
2014-07-14 19:48:00, 511
2014-07-14 20:11:00, 510
2014-07-14 20:33:00, 550
2014-07-14 20:54:00, 596
2014-07-14 21:17:00, 543
2014-07-14 21:38:00, 583
2014-07-14 22:11:00, 694
2014-07-14 22:29:00, 543
2014-07-14 22:44:00, 574
2014-07-14 22:54:00, 701
2014-07-14 23:45:00, 484
2014-07-15 00:37:00, 394
2014-07-15 01:11:00, 332
2014-07-15 01:37:00, 323
2014-07-15 01:58:00, 245
2014-07-15 02:11:00, 237
2014-07-15 02:43:00, 182
2014-07-15 03:15:00, 150
2014-07-15 13:02:00, 379
2014-07-15 13:34:00, 843
2014-07-15 14:05:00, 886
2014-07-15 17:05:00, 728
2014-07-15 18:37:00, 628
2014-07-15 18:47:00, 433
2014-07-15 19:04:00, 531
2014-07-15 19:16:00, 488
2014-07-15 19:33:00, 501
2014-07-15 19:46:00, 510
2014-07-15 20:01:00, 499
2014-07-15 20:17:00, 451
2014-07-15 20:32:00, 457
2014-07-15 20:47:00, 482
2014-07-15 21:03:00, 450
2014-07-15 21:18:00, 473
2014-07-15 21:30:00, 512
2014-07-15 21:44:00, 520
2014-07-15 21:59:00, 524
2014-07-15 22:15:00, 493
2014-07-15 22:30:00, 511
